record_name,position,picture,type,conditional_changes,field_name,description,notes
HEADER,001-018,X(18),AN,,b_of_pershing,Literally “BOFPERSHING” (beginning of Pershing file),
HEADER,019-036,X(18),AN,,customer_acct_info,Literally “CUSTOMERACCTINFO”,
HEADER,037-046,X(10),AN,,data_of,Literally “DATAOF”,
HEADER,047-056,X(10),AN,,date_of_data,DATE OF DATA = “MM/DD/CCYY”,
HEADER,057-067,X(11),AN,,to_remote,Literally “TOREMOTE”,
HEADER,068-071,X(04),AN,,remote_id,REMOTE ID = “XXXX”,
HEADER,072-085,X(14),AN,,begin_shere,Literally “BEGINSHERE”,
HEADER,086-095,X(10),AN,,run_date,RUN DATE = “MM/DD/CCYY”,
HEADER,096-096,X(01),AN,,not_used,Not Used,
HEADER,097-104,X(08),AN,,run_time,RUN TIME = “HH:MM:SS”,
HEADER,105-118,X(14),AN,,not_used,Not Used,
HEADER,119-127,X(09),AN,,refreshed_updated,Indicates if the file is REFRESHED or UPDATED; literally “REFRESHED” or  “UPDATED”,
HEADER,128-749,X(622),AN,,not_used,Not Used,
HEADER,750-750,X(01),AN,,,Literally “A”; indicates the end of the header record,
A,001-002,X(02),AN,,transaction_code,TRANSACTION CODE = “CI”,
A,003-003,X(01),AN,,record_indicator_value,RECORD INDICATOR VALUE = “A”,
A,004-011,9(08),N,,record_id_sequence_number,RECORD ID SEQUENCE NUMBER; begins with “00000001”,
A,012-020,X(09),AN,,account_number,"ACCOUNT NUMBER, including Office (3) and Base (6)",
A,021-023,X(03),AN,,introducing_broker_dealer_ibd_number,INTRODUCING BROKER DEALER (IBD) NUMBER,
A,024-024,X(01),AN,,not_used,Not Used,
A,025-027,X(03),AN,,investment_professional_ip_number,INVESTMENT PROFESSIONAL (IP) NUMBER,
A,028-028,X(01),AN,,not_used,Not Used,
A,029-038,X(10),AN,,account_short_name,ACCOUNT SHORT NAME,
A,039-040,X(02),AN,,not_used,Not Used,
A,041-041,X(01),AN,,transaction_type,"TRANSACTION TYPE; values include:
“X” or “”= Unchanged account
“A” = Add new account
“C” = Change to existing record",
A,042-042,X(01),AN,,auto_titled,"AUTO-TITLED or USER-TITLED ACCOUNT; values include:
“F” = Auto-Titled
“S” = User-Titled (opened in PONA or through conversion)",
A,043-043,X(01),AN,,account_type_code,"ACCOUNT TYPE CODE; values include:
“C” = DVP/RVP
“R” = Retail
“T” = Retirement
“3” = Retail Third Party as Custodian
“4” = 401(k) Self-Directed",
A,044-047,X(04),AN,,registration_type,"REGISTRATION TYPE; for Account Services only; see Appendix Q, “ACCT Codes and Values”","JNTN, TODJ, CUST, 529C, TRST, 529T, NPLT, and CPPS INFORMATION
If the Registration Type field in Record A, Positions 44-47 is not one of these values, then the fields in Record A, Positions 242-262 will not be populated.
JNTN and TODJ ACCOUNT INFORMATION"
A,048-048,X(01),AN,,reserved,Reserved,
A,049-049,X(01),AN,,number_of_account_title_lines,"NUMBER OF ACCOUNT TITLE LINES IN REGISTRATION LINES (values 1, 2, 3, 4)","A new, freeform field called “Account Description” has been added to record C, position 535, which further defines the account registration."
A,050-081,X(32),AN,,account_ registration_line_1,ACCOUNT REGISTRATION LINE 1,
A,082-113,X(32),AN,,account_ registration_line_2,ACCOUNT REGISTRATION LINE 2,
A,114-145,X(32),AN,,account_ registration_line_3,ACCOUNT REGISTRATION LINE 3,
A,146-177,X(32),AN,,account_ registration_line_4,ACCOUNT REGISTRATION LINE 4,
A,178-209,X(32),AN,,account_ registration_line_5,ACCOUNT REGISTRATION LINE 5,
A,210-241,X(32),AN,,account_ registration_line_6,ACCOUNT REGISTRATION LINE 6,
A,242-242,X(01),AN,,us_tenancy_indicator,"US TENANCY INDICATOR; values include:
“N” = No (not a US Tenant)
“Y” = Yes (is a US Tenant)",
A,243-243,X(01),AN,,married_indicator,"MARRIED INDICATOR; values include:
“N” = No (is not married)
“Y” = Yes (is married)
“” = Not applicable",
A,244-245,X(02),AN,,tenancy_state,"TENANCY STATE; see Appendix Q, “ACCT Codes & Values”",
A,246-249,X(04),AN,,joint_tenancy_clause,"JOINT TENANCY CLAUSE; values include:
“CMPP” = Community Property
“CMRS” = Community Property with Right of Survivorship
“JTTN” = Joint Tenants with Right of Survivorship
“TNCM” = Tenants in Common
“TNET” = Tenants by Entirety
“USFT” = USUFRUCT
“” = Not applicable",
A,250-257,9(08),N,,agreement_execution_date,"AGREEMENT EXECUTION DATE, in CCYYMMDD format",
A,258-259,X(02),AN,,number_of_tenants,NUMBER OF TENANTS,
A,260-262,X(03),AN,,not_used,Not Used,
A,242-243,X(02),AN,"CUST, 529C",state_gift_given,"STATE GIFT GIVEN; see Appendix Q, “ACCT Codes and Values”","CUSTODIAN ACCOUNT (CUST, 529C) INFORMATION"
A,244-251,9(08),N,"CUST, 529C",date_gift_given,"DATE GIFT GIVEN, in CCYYMMDD format","CUSTODIAN ACCOUNT (CUST, 529C) INFORMATION"
A,252-253,9(02),N,"CUST, 529C",age_to_terminate,AGE TO TERMINATE,"CUSTODIAN ACCOUNT (CUST, 529C) INFORMATION"
A,254-261,9(08),N,"CUST, 529C",minors_birthdate,"MINOR’S BIRTHDATE, in CCYYMMDD format","CUSTODIAN ACCOUNT (CUST, 529C) INFORMATION"
A,262-262,X(01),AN,"CUST, 529C",manner_of_gift,"MANNER OF GIFT; values include:
“C” = Created by Gift
“E” = Exercise by Appointment
“O” = Transfer by Obligor
“R” = Trust
“T” = Transfer by Fiduciary
“W” = Will
“” = Not applicable","CUSTODIAN ACCOUNT (CUST, 529C) INFORMATION"
A,242-242,X(01),AN,"TRST, 529T, NPLT",type_of_trust,"TYPE OF TRUST; values include:
“A” = Qualified Domestic Trust
“C” = Charitable Trust
“D” = Defective Trust
“E” = Estate Trust
“F” = Family Trust
“G” = Generation Skipping Trust
“I” = Irrevocable Trust
“L” = Living Trust
“N” = Insurance Trust
“P” = Special Needs Trust
“Q” = QTIP or QDOT Trust
“R” = Revocable Trust
“S” = Statutory Trust
“T” = Testamentary Trust
“V” = Irrevocable Living Trust
“” = Not applicable","TRUST ACCOUNT (TRST, 529T, NPLT) INFORMATION"
A,243-250,9(08),N,"TRST, 529T, NPLT",date_trust_established,"DATE TRUST ESTABLISHED, in CCYYMMDD format","TRUST ACCOUNT (TRST, 529T, NPLT) INFORMATION"
A,251-258,9(08),N,"TRST, 529T, NPLT",amended_date,"AMENDED DATE, in CCYYMMDD format","TRUST ACCOUNT (TRST, 529T, NPLT) INFORMATION"
A,259-259,X(01),AN,"TRST, 529T, NPLT",trustee_independent_action,"TRUSTEE INDEPENDENT ACTION; values include:
“N” = Cannot act independently
“Y” = Can act independently","TRUST ACCOUNT (TRST, 529T, NPLT) INFORMATION"
A,260-262,X(03),AN,"TRST, 529T, NPLT",not_used,Not Used,"TRUST ACCOUNT (TRST, 529T, NPLT) INFORMATION"
A,242-249,9(08),N,CPPS,plan_established_date,"PLAN ESTABLISHED DATE, in CCYYMMDD format","CPPS ACCOUNT INFORMATION (effective 3Q, 2014)"
A,250-257,9(08),N,CPPS,plan_amendment_date,"PLAN AMENDMENT DATE, in CCYYMMDD format","CPPS ACCOUNT INFORMATION (effective 3Q, 2014)"
A,258-262,X(05),AN,CPPS,not_used,Not Used,"CPPS ACCOUNT INFORMATION (effective 3Q, 2014)"
A,263-270,9(08),N,,date_account_opened,"DATE ACCOUNT OPENED, in CCYYMMDD format",ACCOUNT OPEN/UPDATE/CLOSE DATES
A,271-278,9(08),N,,date_account_information_updated,"DATE ACCOUNT INFORMATION UPDATED, in
CCYYMMDD format",ACCOUNT OPEN/UPDATE/CLOSE DATES
A,279-279,X(01),AN,,account_status_indicator,"ACCOUNT STATUS INDICATOR; values include:
“O” = Open
“P” = Pending Close
“C” = Closed",ACCOUNT OPEN/UPDATE/CLOSE DATES
A,280-287,9(08),N,,pending_closed_date,"PENDING CLOSED DATE, in CCYYMMDD format",ACCOUNT OPEN/UPDATE/CLOSE DATES
A,288-295,9(08),N,,date_account_closed,"DATE ACCOUNT CLOSED, in CCYYMMDD format",ACCOUNT OPEN/UPDATE/CLOSE DATES
A,296-303,9(08),N,,not_used,Not Used,ACCOUNT OPEN/UPDATE/CLOSE DATES
A,304-311,9(08),N,,account_re_activated_date,"ACCOUNT RE-ACTIVATED DATE, in CCYYMMDD format",ACCOUNT OPEN/UPDATE/CLOSE DATES
A,312-319,9(08),N,,date_account_re_opened,"DATE ACCOUNT RE-OPENED, in CCYYMMDD format",ACCOUNT OPEN/UPDATE/CLOSE DATES
A,320-320,X(01),AN,,proceeds,"PROCEEDS; values include:
“1” = Remit (send)
“2” = Hold
“3” = COD (hold)",INSTRUCTIONS
A,321-321,X(01),AN,,transfer_instructions,"TRANSFER INSTRUCTIONS; values include:
“1” = Register with Issuer
“2” = Transfer to customer and hold in safekeeping
“3” = COD Street Name
“4” = Hold in Street Name",INSTRUCTIONS
A,322-322,X(01),AN,,income_instructions,"INCOME INSTRUCTIONS; values include:
“2” = Pay Monthly (send)
“3” = Credit Account (hold)
“4” = COD",INSTRUCTIONS
A,323-324,X(02),AN,,number_of_confirms for_this_ccount,NUMBER OF CONFIRMS FOR THIS ACCOUNT,INSTRUCTIONS
A,325-326,X(02),AN,,number_of_statements_for_this_account,NUMBER OF STATEMENTS FOR THIS ACCOUNT,INSTRUCTIONS
A,327-327,X(01),AN,,investment_objective_trans_code,"INVESTMENT OBJECTIVE TRANS. CODE, values include:
“X” or “” = Unchanged record
“A” = Added record
“C” = Changed record",INVESTMENT OBJECTIVE DETAILS
A,328-353,X(26),AN,,comments,COMMENTS; (free-form text),INVESTMENT OBJECTIVE DETAILS
A,354-368,X(15),AN,,employer_shortname,EMPLOYER SHORTNAME (previously “EMPLOYER”),INVESTMENT OBJECTIVE DETAILS
A,369-377,X(09),AN,,employer_cusip,EMPLOYER’S CUSIP®,INVESTMENT OBJECTIVE DETAILS
A,378-386,X(09),AN,,employers_symbol,EMPLOYER’S SYMBOL,INVESTMENT OBJECTIVE DETAILS
A,387-387,X(01),AN,,margin_privileges_revoked,"MARGIN PRIVILEGES REVOKED; values include:
“N” = No
“Y” = Yes
“” = Not applicable",INVESTMENT OBJECTIVE DETAILS
A,388-395,9(08),N,,statement_review_date,"STATEMENT REVIEW DATE, in CCYYMMDD format",INVESTMENT OBJECTIVE DETAILS
A,396-396,X(01),AN,,margin_papers_on_file,"MARGIN PAPERS ON FILE (applies to brokerage accounts only); values include:
“Y” = Margin Papers on File
“N” = No Margin Papers on File",INVESTMENT OBJECTIVE DETAILS
